OldSubject,Old_Age,Old_Education,YoungSubject,Young_Age,Young_Education,ShipleyOld,ShipleyYoung
701,71,12,163,18,12,36,26
702,60,14,164,21,3,24,36
703,67,13.5,165,20,13,32,28
704,70,17,166,21,14,36,34
705,57,19,167,19,13,38,32
706,74,20,168,21,15,38,36
707,69,12,169,18,12,38,39
708,74,12,170,20,14,33,34
709,74,16,171,21,14,35,37
710,67,12,172,19,14,32,29
712,65,12,173,21,17,34,30
713,73,15,174,19,12,31,36
714,55,16,175,18,13,31,32
715,55,16,176,20,15,32,35
716,75,14,177,20,14,37,35
717,74,16,178,21,14,37,34
718,69,16,179,19,13,35,35
719,61,17,180,22,16,39,33
720,88,18,181,19,13,33,36
721,76,14,182,18,13,36,36
722,76,14,183,26,16,33,34
723,62,16,184,21,16,28,33
724,86,17,185,19,14,31,34
725,83,14,187,20,25,30,34
726,85,14,188,19,13,38,35
727,71,14,189,20,14,34,35
728,78,23,190,18,12,37,36
729,72,16,191,19,13,38,29
730,69,12,192,18,0,28,37
731,83,13,193,18,15,33,34
732,78,14,194,20,13,39,40
733,66,21,198,19,12,36,33
735,81,16,,,,39,