TargetNo,PrimeType,SoundRating,Target,MeaningRating
1,Both,2.894736842,abacus,3.285714286
1,Phonological,5.368421053,abacus,1.952380952
1,Semantic,1.473684211,abacus,4.523809524
2,Both,4.210526316,abdicate,5.19047619
2,Phonological,5.368421053,abdicate,1.428571429
2,Semantic,1.368421053,abdicate,5.19047619
3,Both,3.157894737,abstain,5.952380952
3,Phonological,5.157894737,abstain,3.047619048
3,Semantic,1.526315789,abstain,5.476190476
4,Both,3.473684211,accolade,4.523809524
4,Phonological,5.368421053,accolade,2.095238095
4,Semantic,1.473684211,accolade,3.666666667
5,Both,4.368421053,advocate,3.523809524
5,Phonological,4.210526316,advocate,1.761904762
5,Semantic,1.421052632,advocate,4.19047619
6,Both,3.684210526,Alcott,4.333333333
6,Phonological,4.421052632,Alcott,1.571428571
6,Semantic,1.631578947,Alcott,4.238095238
7,Both,4.684210526,allocation,6.476190476
7,Phonological,5.052631579,allocation,1.523809524
7,Semantic,2.157894737,allocation,6.523809524
8,Both,3.789473684,anachronism,3.714285714
8,Phonological,4.210526316,anachronism,1.857142857
8,Semantic,1.421052632,anachronism,3.19047619
9,Both,4.947368421,anagram,4.142857143
9,Phonological,4.842105263,anagram,3.238095238
9,Semantic,1.421052632,anagram,6.19047619
10,Both,3.157894737,Andes,5.714285714
10,Phonological,3.578947368,Andes,1.047619048
10,Semantic,1.842105263,Andes,5.761904762
11,Both,3.315789474,auspicious,4.523809524
11,Phonological,4.526315789,auspicious,2.714285714
11,Semantic,1.473684211,auspicious,4.428571429
12,Both,4.315789474,banal,4.380952381
12,Phonological,4.894736842,banal,2.476190476
12,Semantic,1.684210526,banal,4.904761905
13,Both,4.526315789,Bangkok,5.047619048
13,Phonological,3.421052632,Bangkok,1.619047619
13,Semantic,1.157894737,Bangkok,5.428571429
14,Both,5,barter,6.19047619
14,Phonological,4.684210526,barter,1.857142857
14,Semantic,2,barter,3.666666667
15,Both,3.105263158,Batista,3.952380952
15,Phonological,3.578947368,Batista,1.619047619
15,Semantic,1.315789474,Batista,4.095238095
16,Both,4.789473684,bewilder,5.857142857
16,Phonological,3.263157895,bewilder,1.619047619
16,Semantic,1.578947368,bewilder,5.523809524
17,Both,4.631578947,binomial,2.714285714
17,Phonological,5.421052632,binomial,2.19047619
17,Semantic,2,binomial,4.095238095
18,Both,3.789473684,Caracas,3.714285714
18,Phonological,4.736842105,Caracas,1.571428571
18,Semantic,1.315789474,Caracas,4.380952381
19,Both,3.684210526,carcass,6.380952381
19,Phonological,4.473684211,carcass,1.285714286
19,Semantic,2.315789474,carcass,5.476190476
20,Both,3.315789474,Carroll,4.571428571
20,Phonological,4.421052632,Carroll,1.095238095
20,Semantic,1.842105263,Carroll,4.952380952
21,Both,4.736842105,Carver,3.714285714
21,Phonological,4.421052632,Carver,1.380952381
21,Semantic,1.473684211,Carver,4.095238095
22,Both,3.052631579,Casablanca,4.571428571
22,Phonological,3.789473684,Casablanca,1.714285714
22,Semantic,1.368421053,Casablanca,3.857142857
23,Both,4.684210526,chameleon,5.571428571
23,Phonological,4.157894737,chameleon,1.380952381
23,Semantic,1.736842105,chameleon,6
24,Both,4.631578947,Clay,3.80952381
24,Phonological,5.052631579,Clay,1.333333333
24,Semantic,1.473684211,Clay,4.904761905
25,Both,3.368421053,Clemens,3.80952381
25,Phonological,4.157894737,Clemens,1.333333333
25,Semantic,1.210526316,Clemens,4.523809524
26,Both,3.578947368,congruent,5.19047619
26,Phonological,4.631578947,congruent,2.428571429
26,Semantic,2,congruent,5.238095238
27,Both,4.157894737,covenant,4.238095238
27,Phonological,5.473684211,covenant,1.571428571
27,Semantic,1.315789474,covenant,2.714285714
28,Both,5,Cummings,3.952380952
28,Phonological,5.157894737,Cummings,1.571428571
28,Semantic,1.947368421,Cummings,4.095238095
29,Both,5.210526316,Dante,3.952380952
29,Phonological,4.368421053,Dante,1.285714286
29,Semantic,1.105263158,Dante,4.714285714
30,Both,4.105263158,Darfur,4.619047619
30,Phonological,4.578947368,Darfur,1.619047619
30,Semantic,1.315789474,Darfur,5.095238095
31,Both,3.052631579,Dean,3.80952381
31,Phonological,5.105263158,Dean,1.238095238
31,Semantic,1.684210526,Dean,3.904761905
32,Both,3.368421053,default,2
32,Phonological,4.105263158,default,1.380952381
32,Semantic,1.473684211,default,3.333333333
33,Both,6,deference,2.857142857
33,Phonological,5.263157895,deference,1.952380952
33,Semantic,2,deference,4.523809524
34,Both,3.894736842,denigrate,4.80952381
34,Phonological,4.631578947,denigrate,2.428571429
34,Semantic,1.526315789,denigrate,5.571428571
35,Both,6.368421053,deplete,4.523809524
35,Phonological,3.894736842,deplete,1.904761905
35,Semantic,1.526315789,deplete,5.476190476
36,Both,4.157894737,diverge,5.476190476
36,Phonological,4,diverge,1.619047619
36,Semantic,1.421052632,diverge,6.047619048
37,Both,5.052631579,eccentric,4.904761905
37,Phonological,5.578947368,eccentric,2.714285714
37,Semantic,1.210526316,eccentric,5.666666667
38,Both,4.842105263,elucidate,4.714285714
38,Phonological,5,elucidate,2.619047619
38,Semantic,1.684210526,elucidate,5
39,Both,5.263157895,embryology,3.333333333
39,Phonological,4.368421053,embryology,2.047619048
39,Semantic,2.684210526,embryology,5
40,Both,6.052631579,epithet,3.333333333
40,Phonological,5.421052632,epithet,1.142857143
40,Semantic,1.421052632,epithet,3.238095238
41,Both,4.368421053,facetious,4.095238095
41,Phonological,4.421052632,facetious,2
41,Semantic,2.105263158,facetious,4.857142857
42,Both,5.210526316,fervent,3.19047619
42,Phonological,4.157894737,fervent,2.19047619
42,Semantic,2,fervent,4.571428571
43,Both,4.157894737,foliage,5.428571429
43,Phonological,4.105263158,foliage,1.476190476
43,Semantic,1.157894737,foliage,5.904761905
44,Both,5.578947368,fortuitous,5.095238095
44,Phonological,4.263157895,fortuitous,3.047619048
44,Semantic,1.473684211,fortuitous,2.380952381
45,Both,4.842105263,Garland,3.666666667
45,Phonological,4.736842105,Garland,2.19047619
45,Semantic,1.263157895,Garland,3.523809524
46,Both,4.526315789,Gershwin,4.047619048
46,Phonological,3.789473684,Gershwin,1.761904762
46,Semantic,1.894736842,Gershwin,4.428571429
47,Both,5,gosling,2.904761905
47,Phonological,4.842105263,gosling,1.857142857
47,Semantic,1.315789474,gosling,3.142857143
48,Both,3.842105263,Hale,3.666666667
48,Phonological,5.736842105,Hale,1.238095238
48,Semantic,1.315789474,Hale,3.095238095
49,Both,3.684210526,Hancock,4.476190476
49,Phonological,4,Hancock,1.380952381
49,Semantic,1.578947368,Hancock,5.761904762
50,Both,4.473684211,Helsinki,3.952380952
50,Phonological,3.157894737,Helsinki,1.476190476
50,Semantic,1.210526316,Helsinki,5.714285714
51,Both,4.473684211,hemorrhage,4.904761905
51,Phonological,3.842105263,hemorrhage,1.476190476
51,Semantic,1.684210526,hemorrhage,4.523809524
52,Both,5.421052632,herbaceous,3.571428571
52,Phonological,4.157894737,herbaceous,2.238095238
52,Semantic,1.263157895,herbaceous,4.380952381
53,Both,3.473684211,hoist,4.904761905
53,Phonological,4.052631579,hoist,1.571428571
53,Semantic,1.842105263,hoist,3.714285714
54,Both,3.894736842,idiosyncrasy,4.428571429
54,Phonological,4.842105263,idiosyncrasy,3.333333333
54,Semantic,1.947368421,idiosyncrasy,4.619047619
55,Both,5.210526316,injudicious,2.666666667
55,Phonological,4.684210526,injudicious,2.142857143
55,Semantic,1.789473684,injudicious,3.666666667
56,Both,5.842105263,instigate,5.19047619
56,Phonological,5.947368421,instigate,2.952380952
56,Semantic,1.421052632,instigate,6.047619048
57,Both,4.368421053,interject,4.238095238
57,Phonological,3.473684211,interject,3.380952381
57,Semantic,1.789473684,interject,5.142857143
58,Both,3.736842105,libel,3.571428571
58,Phonological,6.263157895,libel,1.380952381
58,Semantic,1.421052632,libel,4.619047619
59,Both,5.315789474,Lindbergh,4.047619048
59,Phonological,4.368421053,Lindbergh,1.380952381
59,Semantic,1.473684211,Lindbergh,5.238095238
60,Both,3.315789474,loquacious,3.285714286
60,Phonological,3.736842105,loquacious,1.80952381
60,Semantic,1.789473684,loquacious,5.428571429
61,Both,5.631578947,Mandela,3.428571429
61,Phonological,5.315789474,Mandela,1.714285714
61,Semantic,1.210526316,Mandela,5.761904762
62,Both,3.526315789,meager,5.857142857
62,Phonological,5.526315789,meager,2
62,Semantic,2.473684211,meager,5.952380952
63,Both,4.105263158,Miller,4.047619048
63,Phonological,4.315789474,Miller,1.380952381
63,Semantic,1.473684211,Miller,3.904761905
64,Both,4.157894737,mince,5.238095238
64,Phonological,5.368421053,mince,1.428571429
64,Semantic,1.736842105,mince,4.857142857
65,Both,6,monotony,3.19047619
65,Phonological,4.473684211,monotony,2.19047619
65,Semantic,1.736842105,monotony,4.761904762
66,Both,4.736842105,Nairobi,5.238095238
66,Phonological,4.368421053,Nairobi,1.380952381
66,Semantic,2.578947368,Nairobi,4.571428571
67,Both,3.947368421,nullify,5.80952381
67,Phonological,3.368421053,nullify,3.428571429
67,Semantic,2.105263158,nullify,6.19047619
68,Both,4.157894737,Nuremberg,4.047619048
68,Phonological,4.263157895,Nuremberg,1.523809524
68,Semantic,1.631578947,Nuremberg,4.857142857
69,Both,5.421052632,O'Connor,4.666666667
69,Phonological,4.368421053,O'Connor,1.19047619
69,Semantic,1.315789474,O'Connor,4.19047619
70,Both,4.263157895,obscure,4.619047619
70,Phonological,5.368421053,obscure,4.952380952
70,Semantic,2.368421053,obscure,4.19047619
71,Both,3.526315789,obstinate,4.047619048
71,Phonological,5.368421053,obstinate,1.761904762
71,Semantic,2.052631579,obstinate,5.047619048
72,Both,5.842105263,omnipotent,5
72,Phonological,5,omnipotent,2.523809524
72,Semantic,2,omnipotent,3.380952381
73,Both,4.473684211,ornithology,3.19047619
73,Phonological,3.631578947,ornithology,2.047619048
73,Semantic,2.631578947,ornithology,3.761904762
74,Both,3.157894737,ostentatious,3.571428571
74,Phonological,5.263157895,ostentatious,2.047619048
74,Semantic,1.631578947,ostentatious,5.142857143
75,Both,4.157894737,Oswald,4
75,Phonological,4.157894737,Oswald,1.428571429
75,Semantic,1.157894737,Oswald,4.714285714
76,Both,3.684210526,Ottawa,6.380952381
76,Phonological,5.210526316,Ottawa,1.380952381
76,Semantic,2,Ottawa,6.333333333
77,Both,3.368421053,panacea,3.142857143
77,Phonological,4.052631579,panacea,1.142857143
77,Semantic,1.210526316,panacea,4.095238095
78,Both,5.684210526,paragon,3.19047619
78,Phonological,4.736842105,paragon,1.476190476
78,Semantic,2.105263158,paragon,4.571428571
79,Both,3.631578947,polygamy,4.428571429
79,Phonological,5.263157895,polygamy,2.047619048
79,Semantic,1.368421053,polygamy,4.333333333
80,Both,2.894736842,Prague,3.80952381
80,Phonological,4.842105263,Prague,1.380952381
80,Semantic,2.105263158,Prague,4.80952381
81,Both,3.894736842,precocious,3.619047619
81,Phonological,5.210526316,precocious,2.476190476
81,Semantic,1.368421053,precocious,3.666666667
82,Both,5.526315789,pretentious,4.238095238
82,Phonological,5.368421053,pretentious,3.904761905
82,Semantic,1.736842105,pretentious,5.047619048
83,Both,4.105263158,prophecy,3.476190476
83,Phonological,5,prophecy,1.952380952
83,Semantic,1.894736842,prophecy,6.095238095
84,Both,4.947368421,proposition,3.523809524
84,Phonological,4.684210526,proposition,3.095238095
84,Semantic,1.631578947,proposition,5.095238095
85,Both,4.736842105,Quayle,3.333333333
85,Phonological,5.368421053,Quayle,1.19047619
85,Semantic,2.210526316,Quayle,4.19047619
86,Both,4.526315789,recapitulate,4.285714286
86,Phonological,5.631578947,recapitulate,2.666666667
86,Semantic,1.631578947,recapitulate,3.380952381
87,Both,5.263157895,Revere,3.047619048
87,Phonological,5.473684211,Revere,2.142857143
87,Semantic,1.105263158,Revere,4.523809524
88,Both,5.210526316,Robinson,3.857142857
88,Phonological,4.789473684,Robinson,1.285714286
88,Semantic,1.315789474,Robinson,3.904761905
89,Both,3.368421053,Seoul,5.142857143
89,Phonological,3.789473684,Seoul,1
89,Semantic,1.736842105,Seoul,5.476190476
90,Both,4.526315789,Shaw,4
90,Phonological,3.631578947,Shaw,1.523809524
90,Semantic,1.473684211,Shaw,3.80952381
91,Both,3.631578947,Sicily,5.333333333
91,Phonological,5.315789474,Sicily,1.476190476
91,Semantic,2,Sicily,5.238095238
92,Both,2.684210526,Skywalker,5.714285714
92,Phonological,4.842105263,Skywalker,1.952380952
92,Semantic,1.526315789,Skywalker,5.714285714
93,Both,2.894736842,Stockholm,4.380952381
93,Phonological,4.368421053,Stockholm,1.333333333
93,Semantic,1.684210526,Stockholm,5.380952381
94,Both,3.526315789,taciturn,3.761904762
94,Phonological,3.526315789,taciturn,1.904761905
94,Semantic,1.421052632,taciturn,4.095238095
95,Both,3,Thoreau,4.761904762
95,Phonological,4.157894737,Thoreau,1.523809524
95,Semantic,1.526315789,Thoreau,4.857142857
96,Both,4.421052632,tic,5.619047619
96,Phonological,6,tic,1.238095238
96,Semantic,2.052631579,tic,4.19047619
97,Both,3.157894737,tsunami,5.619047619
97,Phonological,3.210526316,tsunami,1.238095238
97,Semantic,1.578947368,tsunami,5.523809524
98,Both,4.736842105,Watson,4.476190476
98,Phonological,5.578947368,Watson,1.80952381
98,Semantic,1.315789474,Watson,4.952380952
99,Both,3.631578947,Wayne,3.666666667
99,Phonological,5.052631579,Wayne,1.238095238
99,Semantic,1.263157895,Wayne,4.857142857
100,Both,4.526315789,Yellowstone,6.333333333
100,Phonological,4.368421053,Yellowstone,1.19047619
100,Semantic,1.105263158,Yellowstone,4.380952381
